Name,Data
Alabama,51325
Alaska,-43652
Arizona,590176
Arkansas,31314
California,110227
Colorado,439140
Connecticut,-66471
Delaware,52127
District of Columbia,58896
Florida,2364193
Georgia,434656
Hawaii,-12056
Idaho,127869
Illinois,-614467
Indiana,50906
Iowa,17809
Kansas,-57875
Kentucky,31408
Louisiana,-62550
Maine,28522
Maryland,31607
Massachusetts,190557
Michigan,-59000
Minnesota,89261
Mississippi,-60770
Missouri,574
Montana,55062
Nebraska,14500
Nevada,259096
New Hampshire,36490
New Jersey,-190747
New Mexico,-39389
New York,-677433
North Carolina,613886
North Dakota,46135
Ohio,-41625
Oklahoma,81707
Oregon,289170
Pennsylvania,13590
Rhode Island,-3370
South Carolina,412541
South Dakota,26816
Tennessee,334598
Texas,1921429
Utah,128785
Vermont,-3281
Virginia,179174
Washington,562842
West Virginia,-37702
Wisconsin,-10469
Wyoming,-10087
